sha,author,date,message
008ad3963224974cef4c23223305cad1ddce9187,Khatai Huseynzade,2024-06-13T17:52:38+00:00,Update README.md
a383d8a4c16986d377262802cb5000b5dc5556b1,Khatai Huseynzade,2024-06-13T17:52:03+00:00,Update README.md
d2792150902cef2d268f52415e05c254a0bd3dd9,Khatai Huseynzade,2024-06-13T17:51:09+00:00,Create README.md
fc84cebcf89e612a5a3cfc7eb496a07f27caec33,BilgeGates,2024-06-13T17:45:37+00:00,first commit
